Algorithm,ItemCount,Capacity,TotalValue,TotalWeight_Selected,TimeMS
回溯法-跳过,100,10000,0.00,0.00,0.00
蛮力法-跳过,100,100000,0.00,0.00,0.00
动态规划法-内存超限跳过,100,100000,0.00,0.00,0.00
贪心法,100,100000,25512.69,4981.93,0.00
回溯法-跳过,100,100000,0.00,0.00,0.00
蛮力法-跳过,100,1000000,0.00,0.00,0.00
动态规划法-内存超限跳过,100,1000000,0.00,0.00,0.00
贪心法,100,1000000,25512.69,4981.93,0.00
回溯法-跳过,100,1000000,0.00,0.00,0.00
蛮力法-跳过,150,10000,0.00,0.00,0.00
动态规划法 (2D),150,10000,40036.68,7749.46,683.00
贪心法,150,10000,40036.68,7749.46,0.00
回溯法-跳过,150,10000,0.00,0.00,0.00
蛮力法-跳过,150,100000,0.00,0.00,0.00
动态规划法-内存超限跳过,150,100000,0.00,0.00,0.00
贪心法,150,100000,40036.68,7749.46,0.00
回溯法-跳过,150,100000,0.00,0.00,0.00
蛮力法-跳过,150,1000000,0.00,0.00,0.00
动态规划法-内存超限跳过,150,1000000,0.00,0.00,0.00
贪心法,150,1000000,40036.68,7749.46,0.00
回溯法-跳过,150,1000000,0.00,0.00,0.00
蛮力法-跳过,200,10000,0.00,0.00,0.00
动态规划法 (2D),200,10000,50528.50,9995.72,925.00
贪心法,200,10000,50528.50,9995.72,0.00
回溯法-跳过,200,10000,0.00,0.00,0.00
蛮力法-跳过,200,100000,0.00,0.00,0.00
动态规划法-内存超限跳过,200,100000,0.00,0.00,0.00
贪心法,200,100000,51318.13,10625.49,0.00
回溯法-跳过,200,100000,0.00,0.00,0.00
蛮力法-跳过,200,1000000,0.00,0.00,0.00
动态规划法-内存超限跳过,200,1000000,0.00,0.00,0.00
贪心法,200,1000000,51318.13,10625.49,0.00
回溯法-跳过,200,1000000,0.00,0.00,0.00
蛮力法-跳过,250,10000,0.00,0.00,0.00
动态规划法 (2D),250,10000,61939.21,9999.64,1199.00
贪心法,250,10000,61870.83,9970.68,0.00
回溯法-跳过,250,10000,0.00,0.00,0.00
蛮力法-跳过,250,100000,0.00,0.00,0.00
动态规划法-内存超限跳过,250,100000,0.00,0.00,0.00
贪心法,250,100000,67300.29,12787.33,0.00
回溯法-跳过,250,100000,0.00,0.00,0.00
蛮力法-跳过,250,1000000,0.00,0.00,0.00
动态规划法-内存超限跳过,250,1000000,0.00,0.00,0.00
贪心法,250,1000000,67300.29,12787.33,0.00
回溯法-跳过,250,1000000,0.00,0.00,0.00
蛮力法-跳过,300,10000,0.00,0.00,0.00
动态规划法 (2D),300,10000,70505.72,9999.90,1434.00
贪心法,300,10000,70458.18,9983.46,0.00
回溯法-跳过,300,10000,0.00,0.00,0.00
蛮力法-跳过,300,100000,0.00,0.00,0.00
动态规划法-内存超限跳过,300,100000,0.00,0.00,0.00
贪心法,300,100000,83334.55,15158.12,1.00
回溯法-跳过,300,100000,0.00,0.00,0.00
蛮力法-跳过,300,1000000,0.00,0.00,0.00
动态规划法-内存超限跳过,300,1000000,0.00,0.00,0.00
贪心法,300,1000000,83334.55,15158.12,0.00
回溯法-跳过,300,1000000,0.00,0.00,0.00
蛮力法-跳过,350,10000,0.00,0.00,0.00
动态规划法 (2D),350,10000,73997.61,9999.97,1608.00
贪心法,350,10000,73991.45,9997.88,0.00
回溯法-跳过,350,10000,0.00,0.00,0.00
蛮力法-跳过,350,100000,0.00,0.00,0.00
动态规划法-内存超限跳过,350,100000,0.00,0.00,0.00
贪心法,350,100000,95061.63,17952.30,0.00
回溯法-跳过,350,100000,0.00,0.00,0.00
蛮力法-跳过,350,1000000,0.00,0.00,0.00
动态规划法-内存超限跳过,350,1000000,0.00,0.00,0.00
贪心法,350,1000000,95061.63,17952.30,0.00
回溯法-跳过,350,1000000,0.00,0.00,0.00
蛮力法-跳过,400,10000,0.00,0.00,0.00
动态规划法 (2D),400,10000,82461.41,9999.81,2001.00
贪心法,400,10000,82392.06,9981.85,0.00
回溯法-跳过,400,10000,0.00,0.00,0.00
蛮力法-跳过,400,100000,0.00,0.00,0.00
动态规划法-内存超限跳过,400,100000,0.00,0.00,0.00
贪心法,400,100000,105248.91,18960.67,0.00
回溯法-跳过,400,100000,0.00,0.00,0.00
蛮力法-跳过,400,1000000,0.00,0.00,0.00
动态规划法-内存超限跳过,400,1000000,0.00,0.00,0.00
贪心法,400,1000000,105248.91,18960.67,1.00
回溯法-跳过,400,1000000,0.00,0.00,0.00
蛮力法-跳过,450,10000,0.00,0.00,0.00
动态规划法 (2D),450,10000,79411.03,9999.81,2090.00
贪心法,450,10000,79396.77,9997.72,0.00
回溯法-跳过,450,10000,0.00,0.00,0.00
蛮力法-跳过,450,100000,0.00,0.00,0.00
动态规划法-内存超限跳过,450,100000,0.00,0.00,0.00
贪心法,450,100000,116802.87,22894.28,0.00
回溯法-跳过,450,100000,0.00,0.00,0.00
蛮力法-跳过,450,1000000,0.00,0.00,0.00
动态规划法-内存超限跳过,450,1000000,0.00,0.00,0.00
贪心法,450,1000000,116802.87,22894.28,0.00
回溯法-跳过,450,1000000,0.00,0.00,0.00
蛮力法-跳过,500,10000,0.00,0.00,0.00
动态规划法 (2D),500,10000,85955.14,9998.55,2437.00
贪心法,500,10000,85955.14,9998.55,0.00
回溯法-跳过,500,10000,0.00,0.00,0.00
蛮力法-跳过,500,100000,0.00,0.00,0.00
动态规划法-内存超限跳过,500,100000,0.00,0.00,0.00
贪心法,500,100000,131357.69,25954.50,0.00
回溯法-跳过,500,100000,0.00,0.00,0.00
蛮力法-跳过,500,1000000,0.00,0.00,0.00
动态规划法-内存超限跳过,500,1000000,0.00,0.00,0.00
贪心法,500,1000000,131357.69,25954.50,0.00
回溯法-跳过,500,1000000,0.00,0.00,0.00
蛮力法-跳过,750,10000,0.00,0.00,0.00
动态规划法-内存超限跳过,750,10000,0.00,0.00,0.00
贪心法,750,10000,103963.38,9980.47,0.00
回溯法-跳过,750,10000,0.00,0.00,0.00
蛮力法-跳过,750,100000,0.00,0.00,0.00
动态规划法-内存超限跳过,750,100000,0.00,0.00,0.00
贪心法,750,100000,194906.97,38006.16,1.00
回溯法-跳过,750,100000,0.00,0.00,0.00
蛮力法-跳过,750,1000000,0.00,0.00,0.00
动态规划法-内存超限跳过,750,1000000,0.00,0.00,0.00
贪心法,750,1000000,194906.97,38006.16,0.00
回溯法-跳过,750,1000000,0.00,0.00,0.00
蛮力法-跳过,1000,10000,0.00,0.00,0.00
动态规划法-内存超限跳过,1000,10000,0.00,0.00,0.00
贪心法,1000,10000,123139.22,9997.26,0.00
回溯法-跳过,1000,10000,0.00,0.00,0.00
蛮力法-跳过,1000,100000,0.00,0.00,0.00
动态规划法-内存超限跳过,1000,100000,0.00,0.00,0.00
贪心法,1000,100000,267620.58,50361.27,1.00
回溯法-跳过,1000,100000,0.00,0.00,0.00
蛮力法-跳过,1000,1000000,0.00,0.00,0.00
动态规划法-内存超限跳过,1000,1000000,0.00,0.00,0.00
贪心法,1000,1000000,267620.58,50361.27,0.00
回溯法-跳过,1000,1000000,0.00,0.00,0.00
蛮力法-跳过,1500,10000,0.00,0.00,0.00
动态规划法-内存超限跳过,1500,10000,0.00,0.00,0.00
贪心法,1500,10000,148983.82,9988.28,1.00
回溯法-跳过,1500,10000,0.00,0.00,0.00
蛮力法-跳过,1500,100000,0.00,0.00,0.00
动态规划法-内存超限跳过,1500,100000,0.00,0.00,0.00
贪心法,1500,100000,392859.19,75686.20,0.00
回溯法-跳过,1500,100000,0.00,0.00,0.00
蛮力法-跳过,1500,1000000,0.00,0.00,0.00
动态规划法-内存超限跳过,1500,1000000,0.00,0.00,0.00
贪心法,1500,1000000,392859.19,75686.20,1.00
回溯法-跳过,1500,1000000,0.00,0.00,0.00
蛮力法-跳过,2000,10000,0.00,0.00,0.00
动态规划法-内存超限跳过,2000,10000,0.00,0.00,0.00
贪心法,2000,10000,176767.14,9987.90,1.00
回溯法-跳过,2000,10000,0.00,0.00,0.00
蛮力法-跳过,2000,100000,0.00,0.00,0.00
动态规划法-内存超限跳过,2000,100000,0.00,0.00,0.00
贪心法,2000,100000,531469.35,99922.06,1.00
回溯法-跳过,2000,100000,0.00,0.00,0.00
蛮力法-跳过,2000,1000000,0.00,0.00,0.00
动态规划法-内存超限跳过,2000,1000000,0.00,0.00,0.00
贪心法,2000,1000000,532220.55,100594.50,0.00
回溯法-跳过,2000,1000000,0.00,0.00,0.00
蛮力法-跳过,3000,10000,0.00,0.00,0.00
动态规划法-内存超限跳过,3000,10000,0.00,0.00,0.00
贪心法,3000,10000,215504.20,9999.50,1.00
回溯法-跳过,3000,10000,0.00,0.00,0.00
蛮力法-跳过,3000,100000,0.00,0.00,0.00
动态规划法-内存超限跳过,3000,100000,0.00,0.00,0.00
贪心法,3000,100000,681865.13,99997.91,1.00
回溯法-跳过,3000,100000,0.00,0.00,0.00
蛮力法-跳过,3000,1000000,0.00,0.00,0.00
动态规划法-内存超限跳过,3000,1000000,0.00,0.00,0.00
贪心法,3000,1000000,792280.10,150649.50,1.00
回溯法-跳过,3000,1000000,0.00,0.00,0.00
蛮力法-跳过,4000,10000,0.00,0.00,0.00
动态规划法-内存超限跳过,4000,10000,0.00,0.00,0.00
